Peak id,Mass,RT,UN_1.mzXML,UN4.mzXML,INFEC_1.mzXML,INFEC_2.mzXML,INFEC_3.mzXML,INFEC_4.mzXML,HK1.mzXML,HK2.mzXML,HK3.mzXML,HK4.mzXML,Polarity,FrAnK Annotation,PiMP Annotation,KEGG ID
11,132.0767,885.84,131537344,128101592,118354888,97892280,145060640,97634784,121024176,122869776,125891144,126622480,positive,Annotate in FrAnK,"3-Guanidinopropanoate,Beta-Guanidinopropionic acid,Creatine,Methylazoxymethanol,N-(Hydroxymethyl)urea,alpha-Hydroxy-NDMA","C00300,C02390,C03065,C06384,C20301,HMDB00064,HMDB13222"
12,156.0768,907.33,7686279.5,6820364.5,5529046,4672629,10444900,3949721.25,6862975.5,6720417,7340054.5,5869848.5,positive,L-Histidine (C6H9N3O2) Prob = 98.8900000000,"2,5-Dioxopiperazine,3-(Pyrazol-1-yl)-L-alanine,3-Cyano-L-alanine,5,6-Dihydrouracil,D-Histidine,Dihydrouracil,Histidine,L-2-Amino-3-(1-pyrazolyl)propanoic acid,L-3-Cyanoalanine,L-Histidine,Muscimol,N-Methylhydantoin","C00135,C00429,C00768,C01162,C02512,C02565,C02777,C06419,C08311,HMDB00076,HMDB00177,HMDB03646,HMDB34267,HMDB60245"
13,203.0526,888.61,5569112.5,4658997,4144117.5,3702166.25,5183267,2880351.25,4257002.5,4968785.5,4225476.5,4098876.5,positive,Annotate in FrAnK,"2-Deoxy-D-gluconate,3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA,3-Deoxyarabinohexonic acid,Allose,Alpha-D-Glucopyranoside,Alpha-D-Glucose,Beta-D-Galactose,Beta-D-Glucose,D-Aldose,D-Allose,D-Altrose,D-Fructose,D-Fuconate,D-Galactose,D-Glucopyranoside,D-Glucose,D-Gulose,D-Hamamelose,D-Hexose,D-Idose,D-Mannose,D-Psicose,D-Sorbose,D-Tagatose,D-Talose,D-chiro-Inositol,Dihydroxyacetone (dimer),Fructose(pyranose),Fructose-1P,Galactose,Glycoprotein-phospho-D-mannose,L-Fructose,L-Fuconate,L-Galactose,L-Gulose,L-Rhamnonate,L-Sorbose,Levoinositol,Myoinositol,Scyllitol,Sorbose,alpha-D-Galactose,alpha-D-Glucose,alpha-D-Mannose,alpha-L-Sorbopyranose,beta-D-Fructose,beta-D-Galactose,beta-D-Glucose,beta-D-Hamamelopyranose,beta-D-Mannose,muco-Inositol,myo-Inositol,scyllo-Inositol","C00031,C00095,C00124,C00137,C00159,C00221,C00247,C00267,C00737,C00738,C00764,C00795,C00936,C00962,C00984,C01452,C01487,C01582,C01680,C01719,C01720,C01825,C01906,C01934,C02209,C02336,C02782,C05003,C06152,C06153,C06464,C06465,C06466,C06467,C06468,C08351,C08356,C10906,C15923,C19891,HMDB00122,HMDB00143,HMDB00169,HMDB00211,HMDB00346,HMDB00516,HMDB00660,HMDB01151,HMDB01266,HMDB03345,HMDB03418,HMDB03449,HMDB06088,HMDB12326,HMDB32222,HMDB33704,HMDB34220,HMDB61922,HMDB62170,HMDB62202,HMDB62473,HMDB62538"
14,178.0587,891.23,1022177.69,717768.25,543059.88,401106.16,1353098.5,498905.44,664675.69,663646.81,858572.81,608192.38,positive,Annotate in FrAnK,"2,5-Dioxopiperazine,3-(Pyrazol-1-yl)-L-alanine,3-Cyano-L-alanine,5,6-Dihydrouracil,D-Histidine,Dihydrouracil,Histidine,L-2-Amino-3-(1-pyrazolyl)propanoic acid,L-3-Cyanoalanine,L-Histidine,Muscimol,N-Methylhydantoin","C00135,C00429,C00768,C01162,C02512,C02565,C02777,C06419,C08311,HMDB00076,HMDB00177,HMDB03646,HMDB34267,HMDB60245"
15,251.0364,886.71,125777.72,184833.73,172784.81,165735.3,175974.27,203961.98,293359.06,259598.81,270460.44,297768,positive,No Fragments,,
16,162.0761,891.97,154625.75,120014.64,115290.89,99417.42,159995.63,149107.03,140585.77,113691.5,102967.8,101951.2,positive,No Fragments,"(S)-3,4-Dihydroxybutyric acid,(±)-2,2'-Iminobispropanoic acid,2,4-Dihydroxybutanoic acid,2,4-dihydroxy-butanoic acid,3-Amino-2,3-dideoxy-scyllo-inosose,3S,4-dihydroxy-butyric acid,4-Deoxyerythronic acid,4-Deoxythreonic acid,4-Methyl-L-glutamate,4-deoxy-erythronic acid,A,b-Dihydroxyisobutyric acid,Acetylhomoserine,Alanopine,Aminoadipic acid,D-Alanyl-(R)-lactate,D-Erythrose,D-Erythrulose,D-Threose,Erythrose,Glutamate, gamma-methyl ester,L-2-Aminoadipate,L-Erythrulose,L-Glutamate methylester,N-Methyl-L-glutamate,N-acetylthreonine,N-methyl-L-glutamic Acid,O-Acetyl-L-homoserine,a,b-dihydroxy-isobutyric acid,beta-Alanopine","C00956,C01046,C01077,C01796,C02022,C02045,C02207,C03210,C05016,C06234,C06463,C17581,C19694,HMDB00337,HMDB00360,HMDB00498,HMDB00510,HMDB02453,HMDB02601,HMDB02649,HMDB06293,HMDB29423,HMDB33747,HMDB61715,HMDB62557,HMDB62660,LMFA01050378,LMFA01050385,LMFA01050397,LMFA01050400,LMFA01170098,Std2_1_20170612_135749_36"
17,116.0706,771.41,103344792,116003720,68319224,104547568,168765744,61559464,124077552,59860940,97139536,72831088,positive,L-Proline (C5H9NO2) Prob = 74.2400000000,"(R)-Lactaldehyde,(S)-Lactaldehyde,3-Acetamidopropanal,3-Hydroxypropanal,4-Amino-2-methylenebutanoic acid,Acetamidopropanal,D-Lactaldehyde,D-Proline,Ethyl formate,Glycidol,Hydroxyacetone,L-Proline,Lactaldehyde,Methyl acetate,Proline,Propanoate,Propionic acid,Pterolactam","C00148,C00163,C00424,C00763,C00937,C00969,C05235,C05999,C10920,C16435,C17530,C18170,HMDB00162,HMDB00237,HMDB03052,HMDB03411,HMDB03453,HMDB06458,HMDB06961,HMDB12880,HMDB30409,HMDB31229,HMDB31523,HMDB34208,LMFA01010003,Std1_1_20170612_135637_21"
18,170.0924,775.07,763947.69,791916.31,432592.91,464845.38,1417183.63,340464.69,1073003.88,527147.19,779804.56,585427.44,positive,"L-Histidine, 1-methyl- (C7H11N3O2) Prob = 90.5300000000","1-Methylhistidine,2-amino-4-cyano-butanoic acid,3-Methylhistidine,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Dihydrothymine,L-Cyclo(alanylglycyl),N(pi)-Methyl-L-histidine,Nalpha-Methylhistidine,Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C01152,C03298,C05715,C05717,HMDB00001,HMDB00079,HMDB00479,HMDB29874,HMDB31547,HMDB62558,LMFA01100037,LMFA01100038"
19,327.1583,772.16,258939.28,366568.44,123541.99,261682.09,488200.16,120944.09,402823.19,106129.69,223683.45,154484.08,positive,No Fragments,"(+)-Acutifolin A,(+)-Galeon,1,2-Dihydrodehydroguaiaretic acid,1-(4-Hydroxy-3-methoxyphenyl)-7-phenyl-3,5-heptanedione,2',4',6'-Trihydroxy-3'-prenyldihydrochalcone,2',6'-Dihydroxy-4'-prenyloxydihydrochalcone,5,5-Diisopropyl-2,2'-dimethylbiphenyl-3,3',4,4'-tetrone,8-(3,3-Dimethylallyl)spatheliachromene,Broussinol,Cyclomillinol,Dehydrodieugenol,Gingerenone C,Licarin A,Pulverochromenol,Uncinatone","C09002,C09031,C09976,C10550,C10650,HMDB31534,HMDB33710,HMDB34720,HMDB36409,HMDB40762,LMPK12020005,LMPK12020281,LMPK12080006,LMPK12120482,LMPK12120484"
20,160.0345,772.38,25551.11,78663.79,NA,69223.63,94345.52,NA,70868.34,NA,55497.18,23946.13,positive,No Fragments,,
21,203.1392,766.48,122305.38,106213.45,89566.41,83618.06,156275.84,99175.96,130303.6,99789.3,127499.18,102849.21,positive,No Fragments,"(S)-Carnitine,Alanyl-Isoleucine,Alanyl-Leucine,Isoleucyl-Alanine,L-Carnitine,Leucyl-Alanine,Malonyl-Carnitin","C00318,C15025,HMDB00062,HMDB28690,HMDB28691,HMDB28900,HMDB28922,HMDB62496"
22,194.048,770.64,72647.63,69431.98,61168.26,74952.25,97201.24,47605.06,113953.05,37754.67,63359.27,53124.4,positive,No Fragments,,
23,127.0727,696.37,1341720.63,5439953,732236.63,1920362,889602.06,952596.88,621276.44,850523,559654.94,532057.19,positive,Annotate in FrAnK,Melamine,"C08737,HMDB41922"
24,122.0812,916.66,23945040,48889468,63018200,116197456,21367568,180930736,15878892,7224984.5,4408871.5,182000480,positive,Tris(hydroxymethyl)aminomethane (C4H11NO3) Prob = 98.6800000000,Tromethamine,C07182
25,333.1688,911.66,838444.81,1442830,1625606.25,1750790.5,950171.75,2444857.5,585227.44,358783.56,246808.47,3532638,positive,No Fragments,"(R)-Marmin,Gibberellin A20,Gibberellin A4,Gibberellin A45,Gibberellin A51,Gibberellin A61,Gibberellin A70,Trichothecin","C02035,C09742,C11864,C11865,HMDB30787,HMDB34987,HMDB35041,HMDB35042,HMDB38014,LMPR0104170004,LMPR0104170021,LMPR0104170022"
26,175.119,1586.67,130860448,111238504,96264560,85646000,155872288,74794736,115866320,103001616,114666808,103705288,positive,DL-Arginine (C6H14N4O2) Prob = 55.8900000000,"Amino acid(Arg-),D-Arginine,L-Arginine","C00062,C00792,C02385,HMDB00517,HMDB03416"
27,386.2064,1586.37,333191.72,243359.31,159652.23,143332.83,513608.16,111764.42,276082.09,231319.25,327141.19,237615.42,positive,No Fragments,"Arformoterol,Formoterol","C07805,HMDB15118,HMDB15399"
28,177.1192,1586.86,118302.81,123160.4,86988.6,88196.95,159412.67,74986.95,120296.77,101957.9,112899.88,133411.61,positive,No Fragments,,
29,132.1019,677.26,82202224,59370208,50557656,42253736,98747392,38298496,66018808,58046620,66078220,59227068,positive,L-Isoleucine (C6H13NO2) Prob = 68.2500000000,"(2R,3R)-2,3-Butanediol,(3R)-beta-Leucine,(R,R)-Butane-2,3-diol,(S,S)-Butane-2,3-diol,(±)-erythro-Isoleucine,1,1-Dimethoxyethane,1,3-Butanediol,2,3-Butanediol,2-Amino-4-methylpentanoic acid,2-Ethoxyethanol,2S-Amino-3S-methylpentanoic acid,2S-amino-hexanoic acid,3,3,5-triiodo-L-thyronine-beta-D-glucuronoside,3-Aminocaproic acid,6-Aminohexanoate,6-Deoxyfagomine,6-amino-hexanoic acid,Aminocaproic acid,Beta-Leucine,D-Isoleucine,D-Leucine,Isoleucine,L-Alloisoleucine,L-Isoleucine,L-Leucine,L-Norleucine,Leucine,N,N-Diethylglycine,N-(2-Hydroxyethyl)-morpholine,N-methylvaline,beta-Alaninebetaine,meso-2,3-Butanediol","C00123,C00407,C01570,C01933,C02378,C02486,C03044,C03046,C06418,C08263,C14687,C16434,C16439,C16647,C20335,C20657,HMDB00172,HMDB00557,HMDB00687,HMDB01645,HMDB01901,HMDB03156,HMDB03640,HMDB13773,HMDB29168,HMDB30061,HMDB31213,HMDB31320,HMDB33007,HMDB33923,HMDB36382,HMDB60650,HMDB61716,HMDB62203,LMFA01100035,LMFA01100042,LMFA01100047,LMFA01100048,Std1_1_20170612_135637_9"
30,214.0909,671.53,1089489.13,1105259.63,930692.25,896156.94,1203758,841419.5,1041495.44,1083734.25,957463.5,1040512,positive,No Fragments,,
31,250.0508,679.08,1045633.25,1133763.38,917332.75,807791.25,1337515.5,934996,1151455.88,1000349,1057256.5,1222657.13,positive,Annotate in FrAnK,,
32,216.0583,676.75,850437.38,763404.5,682650.38,590127.75,1083258.75,567218.56,806679.06,692280.56,847784.44,721920.69,positive,No Fragments,,
33,176.0658,677.25,302818.16,253420.23,186674.22,186978.44,424296.34,144342.72,208196.58,209758.75,224325.02,209299.98,positive,No Fragments,,
34,343.1895,677.85,284683.5,217394.92,149091.64,125637.68,413500.88,75626.64,241730.98,185561.39,291465.75,196630.63,positive,No Fragments,7-(4-Hydroxy-3-methoxyphenyl)-5-methoxy-1-phenyl-3-heptanone,HMDB29525
35,282.0299,676.08,276548.72,264929.91,257260.28,205742.2,336422.38,186391.61,255512.66,257801.8,280910.94,229592.14,positive,No Fragments,"8-Hydroxy-2-chlorodibenzofuran,8-Hydroxy-3-chlorodibenzofuran","C15237,C15241"
36,128.9535,1873.85,72618024,65161808,99051808,53631088,64158304,79715912,55247536,94546240,68053664,79818216,positive,Annotate in FrAnK,,
37,168.946,1873.87,21823274,19237564,30261866,15308154,18232250,23910690,16044167,29152946,19677862,24161280,positive,Annotate in FrAnK,,
38,234.9177,1874.04,10235828,8727753,15424585,6745967.5,8657919,11366480,7017120.5,14159867,8884210,11429952,positive,Annotate in FrAnK,,
39,274.91,1873.91,4474853.5,3660262,6727059.5,2893377.5,3663465.25,4962209,2957387.75,6441181,3643830.5,4942550,positive,Annotate in FrAnK,,
40,296.918,1873.94,6127835,5305788.5,8668711,3700350.25,4736602.5,6565200.5,4247520.5,8524406,5447970.5,6726910.5,positive,Annotate in FrAnK,,
41,318.9,1873.88,3922255.5,3406049.5,6027658.5,2526816.5,3357872,4501267.5,2684722.75,6061562,3537265.25,4764151,positive,Annotate in FrAnK,,
42,340.8819,1874.22,1609118.63,1288888.38,2528206.25,884440.44,1299105.88,1818710.13,969957.5,2280410,1270550.38,1768150.63,positive,Annotate in FrAnK,,
43,252.9281,1873.42,2327601.75,2082142.13,3521116.75,1621422.88,2024372.13,2658718.5,1736018.75,3433784.75,2074640.38,2620317,positive,Annotate in FrAnK,,
44,212.9358,1873.58,3458417,3307510.75,4831349,2325363.5,2951606.75,3850013.5,2777109.25,4954049,3488828.25,3893256.75,positive,Annotate in FrAnK,,
45,380.9002,1873.93,2417835.5,2172158.25,3805384.25,1515262,2097079.25,2865761.25,1789283.88,3926003,2231277.75,2853100.5,positive,Annotate in FrAnK,,
46,402.8822,1874.15,1397235.38,1233438,2251552.75,763211.06,1098397.38,1577255.63,934561.63,2068774.88,1118079.88,1527873,positive,Annotate in FrAnK,,
47,380.8743,1874.4,731496.44,607304.19,1199046.38,383370.69,541526.44,807258.94,445737.06,1094603.75,655528.94,782489.94,positive,No Fragments,,
48,464.8827,1874.23,1048706.88,832336.25,1525438.38,621177.38,787159.88,1132092.38,677978.63,1556050.63,966972.69,1207832.63,positive,Annotate in FrAnK,,
49,208.9385,1874.2,819840.19,710206.81,1263406.38,611018.38,762290.25,1027949.13,603122,1246180.88,774457.06,957809.5,positive,Annotate in FrAnK,,
50,424.864,1873.45,587218.38,460415.25,875471.56,311071.81,436003,636318.19,332048.06,873313.94,469606.13,632231.19,positive,Annotate in FrAnK,,
51,526.8834,1874.46,1174830.5,980195.5,1659547.38,625041.44,930254.06,1277292.5,762484.75,1660539.88,1088363.13,1268654.38,positive,Annotate in FrAnK,,
52,309.2035,1873.49,406584.09,345092.66,429216.5,279505.75,342655.97,395599.97,303645.91,337465.31,340378.81,326647.88,positive,Annotate in FrAnK,"10-hydroxy-16-oxo-hexadecanoic acid,14,14,14-Trifluoro-11E-tetradecenyl acetate,14,14,14-Trifluoro-11Z-tetradecenyl acetate,16-Hydroxy-10-oxohexadecanoic acid,2,2,4-Trimethyl-1,3-pentadienol diisobutyrate,2,3-Dihydroxycyclopentaneundecanoic acid,9-hydroxy-16-oxo-hexadecanoic acid,Hexadecanedioate,Hexadecanedioic acid","C14987,C19615,HMDB00672,HMDB41287,HMDB59777,LMFA01170022,LMFA01170059,LMFA01170060,LMFA07010327,LMFA07010328"
53,309.2034,1873.58,406584.09,345092.66,429216.5,279505.75,342655.97,395599.97,303645.91,337465.31,340378.81,326647.88,positive,Annotate in FrAnK,"10-hydroxy-16-oxo-hexadecanoic acid,14,14,14-Trifluoro-11E-tetradecenyl acetate,14,14,14-Trifluoro-11Z-tetradecenyl acetate,16-Hydroxy-10-oxohexadecanoic acid,2,2,4-Trimethyl-1,3-pentadienol diisobutyrate,2,3-Dihydroxycyclopentaneundecanoic acid,9-hydroxy-16-oxo-hexadecanoic acid,Hexadecanedioate,Hexadecanedioic acid","C14987,C19615,HMDB00672,HMDB41287,HMDB59777,LMFA01170022,LMFA01170059,LMFA01170060,LMFA07010327,LMFA07010328"
54,486.8646,1874.66,589906.81,439145.41,970936.75,312871.38,476253.69,696481.63,374185.03,1002503.81,581213.81,690291.38,positive,Annotate in FrAnK,,
55,548.8653,1874.59,570598.44,584165,1077220.25,367056.75,480738.63,822025.94,402150.56,1032161.38,564295.25,758638.56,positive,No Fragments,,
56,446.8459,1874.16,385534.78,296416.25,629749.88,216508.63,338773.31,497586.22,255769.41,630524.88,345862.31,468148.69,positive,Annotate in FrAnK,,
57,314.9026,1873.92,270127.59,173509.91,373726.84,133855.44,185641.2,256896.08,169009.09,351460.59,214386.05,249017.52,positive,No Fragments,,
58,215.1253,1873.49,324352.81,311205.38,411251.94,281085.81,332257.94,348629.41,354928.94,383610.53,322388.22,358556.53,positive,Annotate in FrAnK,,
59,215.1254,1871.63,324352.81,298767.41,363607.28,271735.28,332257.94,348255.31,354928.94,383610.53,322255.88,358556.53,positive,Annotate in FrAnK,,
60,632.8471,1872.99,333719.97,322433.5,614928.06,215434.17,286146.34,439823.38,208700.42,642845.44,399871.25,453069.97,positive,No Fragments,,
61,632.8473,1872.02,333719.97,322433.5,614928.06,215434.17,286146.34,420170.69,202030.81,586258.63,399871.25,453069.97,positive,No Fragments,,
62,570.847,1873.55,370920.75,270972.91,508306.91,183402.66,282338.31,355660.06,184315.28,467839.69,342100.81,351186.19,positive,No Fragments,,
63,358.8923,1874.44,284956.91,236638.16,471330.66,173935.97,199380.33,282825.53,204855.92,526302.75,264812.31,316085.28,positive,No Fragments,,
64,358.8925,1870.77,284956.91,194129.41,417523.06,173935.97,199380.33,282825.53,134061.88,526302.75,264812.31,316085.28,positive,No Fragments,,
65,486.8384,1874.29,165065.69,145834.25,312457.91,106760.41,159197.36,216635.17,118094.38,301649.78,136254.72,227365.05,positive,No Fragments,,
66,610.8652,1874.29,397059.16,370419.56,656541.75,184015.42,314684.94,468938.5,278950.22,639421.19,368137.16,437259.34,positive,No Fragments,,
67,716.8291,1873.56,277837.13,196733.78,455797.56,162033.56,232027.11,283336.97,197940.19,422588.97,231509.34,261857.7,positive,No Fragments,,
68,508.8467,1873.22,210550.28,156459,370070.53,137391.59,159327.02,232063.02,118529.23,296761.44,178363.56,261648.94,positive,No Fragments,,
69,694.8472,1874.4,259125.69,292852.03,461833.53,151526.28,225743.75,382886,213955.28,544068.63,241971.05,331667.81,positive,No Fragments,,
70,694.8473,1874.17,259125.69,292852.03,461833.53,151526.28,225743.75,382886,213955.28,544068.63,241971.05,331667.81,positive,No Fragments,,
71,552.8102,1874.21,137177.17,144095.02,254097.36,87003.47,100119.95,177608.13,91280.05,201926.13,135631.27,171207.8,positive,No Fragments,,
72,654.8287,1874.6,192479.09,139412.31,291185.91,105920.27,137286.31,235659.22,123901.7,374543.72,135056.3,196009.06,positive,No Fragments,,
73,654.8288,1874.6,192479.09,139412.31,291185.91,105920.27,137286.31,235659.22,123901.7,374543.72,135056.3,196009.06,positive,No Fragments,,
74,212.0328,1873.72,210398.09,175334.7,246426.33,200037.23,185020,213184.83,138871.45,174804.63,192424.72,186515.7,positive,No Fragments,,
75,212.0328,1873.49,210398.09,175334.7,246426.33,200037.23,185020,213184.83,138871.45,174804.63,192424.72,186515.7,positive,No Fragments,,
76,800.8109,1873.15,172406.11,144142.92,267197.75,97609.55,129235.17,194216.19,129740.85,339476.75,169442.27,164751.66,positive,No Fragments,,
77,592.8283,1873.05,143022.5,87379.16,208737.09,61598.69,79694.05,131562.02,75700.34,168547.84,110531.38,125924.7,positive,No Fragments,,
78,354.895,1873.56,90033.79,66877.55,149703.73,27599.68,42304.63,100606.83,52219.53,132564.89,59658.15,86150.91,positive,No Fragments,,
79,354.895,1873.62,90033.79,66877.55,149703.73,27599.68,42304.63,100606.83,52219.53,132564.89,56604.08,86150.91,positive,No Fragments,,
80,239.1617,1873.22,16388.99,16135.98,15469.28,19815.7,16618.71,24352.16,NA,16354.22,24202.32,14944.77,positive,No Fragments,"(R)-3-Hydroxydodecanoic acid,11-hydroxy-dodecanoic acid,11R-hydroxy-dodecanoic acid,12-Hydroxydodecanoic acid,12-hydroxy lauric acid,2R-hydroxylauric acid,2S-hydroxylauric acid,3-Hydroxydodecanoic acid,3R-hydroxy-dodecanoic acid,3S-hydroxy-dodecanoic acid,4-ethylamino-6-isopropylamino-1,3,5-triazin-2-ol,4-hydroxy lauric acid,4R-hydroxylauric acid,4S-hydroxylauric acid,7-hydroxy-dodecanoic acid,9-hydroxy-dodecanoic acid,Hydroxyatrazine,alpha-hydroxy lauric acid,beta-hydroxylauric acid,xi-5-Hydroxydodecanoic acid","C06552,C08317,HMDB00387,HMDB02059,HMDB10728,HMDB40169,HMDB62766,LMFA01050036,LMFA01050037,LMFA01050038,LMFA01050039,LMFA01050165,LMFA01050166,LMFA01050167,LMFA01050251,LMFA01050252,LMFA01050253,LMFA01050361,LMFA01050362,LMFA01050363,LMFA01050364"
81,778.8289,1875.06,180125.78,144292.14,284870.25,83119.23,132113.73,211051.06,108821.63,299792.59,119220.23,190116.59,positive,No Fragments,,
82,530.8286,1872.9,98658.37,76645.09,162054.11,67798.89,92914.96,143133.47,65387.49,210258.84,83850.32,120747.12,positive,No Fragments,,
83,420.8666,1873.78,90551.46,66693.99,135742.27,62303.47,79764.66,85861.66,39130.02,167774.23,85265.12,113534.3,positive,No Fragments,,
84,884.7924,1874.34,112676.56,98328.2,173087.84,79653.39,87817.53,101950.23,75063.16,195170.84,92246.58,159486.97,positive,No Fragments,,
85,738.8103,1875.08,86304.38,91483.34,175698.05,67012.59,73009.59,100873.19,67768.38,179532.73,91078.61,132012.27,positive,No Fragments,,
86,676.8101,1873.62,78832.85,88709.56,164261.94,55925.17,78137.16,128020.38,77662.06,123664.38,74912.86,81642.02,positive,No Fragments,,
