reaction_id	reaction_name	protein_coverage	compound_coverage	all_coverage	protein	observed_protein_count	all_protein_count	compound	observed_compound_count	all_compound_count	pathway_ids	pathway_names
R-MMU-6797627	ASPG hydrolyses L-Asn to L-Asp	0.00	0.50	0.40		0	1	C00049:C00152	2	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-71155	tyrosine + alpha-ketoglutarate <=> p-hydroxyphenylpyruvate + glutamate	0.00	0.50	0.40		0	1	C00025:C00026	2	4	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-70723	leu, ile, or val + alpha-ketoglutarate <=> a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate [BCAT1]	0.00	0.50	0.44		0	1	C00025:C00183:C00123:C00026	4	8	R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-8943279	GGT dimers hydrolyse GSH	0.00	0.50	0.33		0	2	C00025:C00051	2	4	R-MMU-174403	Glutathione synthesis and recycling
R-MMU-517444	p-hydroxyphenylpyruvate + glutamate <=> tyrosine + alpha-ketoglutarate	0.00	0.50	0.40		0	1	C00025:C00026	2	4	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-453338	PGYM b dimer:AMP complex <=> PGYM dimer, b form + 2 AMP	0.00	0.50	0.25		0	2	C00020	1	2	R-MMU-70221	Glycogen breakdown (glycogenolysis)
R-MMU-159443	benzoate + Coenzyme A + ATP => benzoyl-CoA + AMP + pyrophosphate	0.00	0.50	0.38		0	2	C00013:C00020:C00180	3	6	R-MMU-177135	Conjugation of benzoate with glycine
R-MMU-904864	Mitochondrial AGXT2 tetramer transaminates glyoxylate and alanine to glycine and pyruvate	0.00	0.50	0.40		0	1	C00041:C00037	2	4	R-MMU-389661	Glyoxylate metabolism and glycine degradation
R-MMU-8870352	SLC36A4 transports L-Trp from extracellular region to cytosol	0.00	0.50	0.20		0	3	C00078	1	2	R-MMU-71240	Tryptophan catabolism
R-MMU-74215	guanine or hypoxanthine + PRPP => GMP or IMP + PPi (HPRT1)	1.00	0.43	0.50	P00493 (ENSMUSG00000025630)	1	1	C00013:C00262:C00242	3	7	R-MMU-74217	Purine salvage
R-MMU-893596	PXLP-KYAT1 dimer transaminates L-KYN to AP-DOBu	1.00	0.43	0.50	Q8BTY1 (ENSMUSG00000039648)	1	1	C00041:C00328:C00079	3	7	R-MMU-71240	Tryptophan catabolism
R-MMU-977333	3-phosphonooxypyruvic acid + L-glutamate = O-phospho-L-serine + 2-oxoglutarate	1.00	0.40	0.50	Q99K85 (ENSMUSG00000024640)	1	1	C00025:C00026	2	5	R-MMU-977347	Serine biosynthesis
R-MMU-109415	AMP + H2O => adenosine + orthophosphate [NT5C1B]	1.00	0.40	0.50	Q91YE9 (ENSMUSG00000020622)	1	1	C00009:C00020	2	5	R-MMU-74259	Purine catabolism
R-MMU-74255	Guanine + H2O => Xanthine + NH4+	1.00	0.40	0.50	Q9R111 (ENSMUSG00000058624)	1	1	C00385:C00242	2	5	R-MMU-74259	Purine catabolism
R-MMU-8940074	NT5E:Zn2+ hydrolyses NMN	1.00	0.40	0.50	Q61503 (ENSMUSG00000032420)	1	1	C00009:C00153	2	5	R-MMU-196807	Nicotinate metabolism
R-MMU-5696365	ASRGL1 hydrolyses aspartame to L-Asp, L-Phe	0.50	0.40	0.43	Q8C0M9 (ENSMUSG00000024654)	1	2	C00049:C00079	2	5	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-73577	L-glutamine + 2 ATP + HCO3- + H2O => carbamoyl phosphate + L-glutamate + 2 ADP + orthophosphate	1.00	0.38	0.44	B2RQC6 (ENSMUSG00000013629)	1	1	C00009:C00025:C00064	3	8	R-MMU-500753	Pyrimidine biosynthesis
R-MMU-73812	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	1.00	0.38	0.44	Q5SUR0 (ENSMUSG00000020899)	1	1	C00009:C00025:C00064	3	8	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-73647	UTP + glutamine + ATP + H2O => CTP + glutamate + ADP + orthophosphate [CTPS]	1.00	0.38	0.44	P70698 (ENSMUSG00000028633)	1	1	C00009:C00025:C00064	3	8	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-174394	GSS:Mg2+ dimer synthesizes GSH	1.00	0.38	0.44	P51855 (ENSMUSG00000027610)	1	1	C00009:C00037:C00051	3	8	R-MMU-174403	Glutathione synthesis and recycling
R-MMU-504054	UTP + glutamine + ATP + H2O => CTP + glutamate + ADP + orthophosphate [CTPS2]	1.00	0.38	0.44	P70303 (ENSMUSG00000031360)	1	1	C00009:C00025:C00064	3	8	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-73815	5-phospho-alpha-D-ribose 1-diphosphate (PRPP) + H2O + L-glutamine <=> 5-phosphoribosylamine + L-glutamate +pyrophosphate	0.00	0.38	0.30		0	2	C00013:C00025:C00064	3	8	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-6787757	GADL1 decarboxylates acidic AAs	0.00	0.38	0.30		0	2	C00049:C00245:C00099	3	8	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-5694494	AACS ligates CoA-SH to ACA, forming ACA-CoA	1.00	0.33	0.43	Q9D2R0 (ENSMUSG00000029482)	1	1	C00013:C00020	2	6	R-MMU-77111	Synthesis of Ketone Bodies
R-MMU-109291	CMP or TMP or UMP + H2O => cytidine, thymidine, or uridine + orthophosphate [NT5E]	1.00	0.33	0.40	Q61503 (ENSMUSG00000032420)	1	1	C00009:C00299:C00475	3	9	R-MMU-73621	Pyrimidine catabolism
R-MMU-71735	acetate + CoA + ATP => acetyl-CoA + AMP + pyrophosphate [cytosolic]	1.00	0.33	0.43	Q9QXG4 (ENSMUSG00000027605)	1	1	C00013:C00020	2	6	R-MMU-71384	Ethanol oxidation
R-MMU-6785928	CHAC1,2 cleaves GSH to OPRO and CysGly	1.00	0.33	0.60	Q9CQG1 (ENSMUSG00000020309):Q8R3J5 (ENSMUSG00000027313)	2	2	C00051	1	3	R-MMU-174403	Glutathione synthesis and recycling
R-MMU-110145	AMP + ATP <=> ADP + ADP [AK2]	1.00	0.33	0.50	Q9WTP6 (ENSMUSG00000028792)	1	1	C00020	1	3	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-2161660	PGH2 is isomerised to PGE2 by PTGES	1.00	0.33	0.50	Q9JM51 (ENSMUSG00000050737)	1	1	C00051	1	3	R-MMU-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
R-MMU-196753	2xPPCS ligates PPanK with Cys	1.00	0.33	0.43	Q8VDG5 (ENSMUSG00000028636)	1	1	C00013:C00020	2	6	R-MMU-196783	Coenzyme A biosynthesis
R-MMU-449911	acetate + CoA + ATP => acetyl-CoA + AMP + pyrophosphate [mitochondrial]	1.00	0.33	0.43	Q99NB1 (ENSMUSG00000027452)	1	1	C00013:C00020	2	6	R-MMU-71384	Ethanol oxidation
R-MMU-2161701	PGH2 is isomerised to PGD2 by HPGDS	1.00	0.33	0.50	Q9JHF7 (ENSMUSG00000029919)	1	1	C00051	1	3	R-MMU-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
R-MMU-5696007	ACSF3 ligates CoA-SH to VLCFA	1.00	0.33	0.43	Q3URE1 (ENSMUSG00000015016)	1	1	C00013:C00020	2	6	R-MMU-75876	Synthesis of very long-chain fatty acyl-CoAs
R-MMU-1247935	OPLAH hydrolyses OPRO to L-Glu	1.00	0.33	0.43	Q8K010 (ENSMUSG00000022562)	1	1	C00009:C00025	2	6	R-MMU-174403	Glutathione synthesis and recycling
R-MMU-70982	Fumarate + H2O <=> (S)-Malate	1.00	0.33	0.50	P97807 (ENSMUSG00000026526)	1	1	C00149	1	3	R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-1676133	PI4P is dephosphorylated to PI by SACM1L at the Golgi membrane	1.00	0.33	0.50	Q9EP69 (ENSMUSG00000025240)	1	1	C00009	1	3	R-MMU-1660514	Synthesis of PIPs at the Golgi membrane
R-MMU-200682	Conversion of mitochondrial THF to THF-polyglutamate	1.00	0.33	0.43	P48760 (ENSMUSG00000009566)	1	1	C00009:C00025	2	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-73805	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	1.00	0.33	0.43	Q9DCL9 (ENSMUSG00000029247)	1	1	C00009:C00049	2	6	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-112266	thymine or uracil + 2-deoxy-D-ribose 1-phosphate <=> thymidine or deoxyuridine + orthophosphate [TYMP]	1.00	0.33	0.43	Q99N42 (ENSMUSG00000022615)	1	1	C00009:C00178	2	6	R-MMU-73614	Pyrimidine salvage
R-MMU-174367	GCL ligates L-Glu to L-Cys	1.00	0.33	0.50	O09172 (ENSMUSG00000028124):P97494 (ENSMUSG00000032350)	2	2	C00009:C00025	2	6	R-MMU-174403	Glutathione synthesis and recycling
R-MMU-71249	SHMT1 tetramer cleaves HTMLYS to yield TEABL and Gly	1.00	0.33	0.50	P50431 (ENSMUSG00000020534)	1	1	C00037	1	3	R-MMU-71262	Carnitine synthesis
R-MMU-73828	adenylosuccinate => adenosine 5'-monophosphate + fumarate	1.00	0.33	0.50	P54822 (ENSMUSG00000022407)	1	1	C00020	1	3	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-109903	cytidine or uridine + ATP => CMP or UMP + ADP [UCK2]	1.00	0.33	0.43	Q99PM9 (ENSMUSG00000026558)	1	1	C00299:C00475	2	6	R-MMU-73614	Pyrimidine salvage
R-MMU-112033	hypoxanthine + (deoxy)ribose 1-phosphate <=> (deoxy)inosine + orthophosphate (NP)	1.00	0.33	0.50	Q9D8C9 (ENSMUSG00000068417):Q543K9 (ENSMUSG00000021871)	2	2	C00009:C00262	2	6	R-MMU-74217	Purine salvage
R-MMU-8954327	UCKL1 phosphorylates urindine, cytidine	1.00	0.33	0.43	Q91YL3 (ENSMUSG00000089917)	1	1	C00299:C00475	2	6	R-MMU-73614	Pyrimidine salvage
R-MMU-74376	(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)	1.00	0.33	0.50	P52624 (ENSMUSG00000020407):Q8CGR7 (ENSMUSG00000026839)	2	2	C00009:C00299	2	6	R-MMU-73621	Pyrimidine catabolism
R-MMU-5696004	ACSF2 ligates CoA-SH to MCFA	1.00	0.33	0.43	Q8VCW8 (ENSMUSG00000076435)	1	1	C00013:C00020	2	6	R-MMU-77289	Mitochondrial Fatty Acid Beta-Oxidation
R-MMU-112265	thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP]	1.00	0.33	0.43	Q99N42 (ENSMUSG00000022615)	1	1	C00009:C00178	2	6	R-MMU-73621	Pyrimidine catabolism
R-MMU-451033	(S)-Malate <=> Fumarate + H2O	1.00	0.33	0.50	P97807 (ENSMUSG00000026526)	1	1	C00149	1	3	R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-112034	guanine + (deoxy)ribose 1-phosphate <=> (deoxy)guanosine + orthophosphate (NP)	1.00	0.33	0.50	Q9D8C9 (ENSMUSG00000068417):Q543K9 (ENSMUSG00000021871)	2	2	C00009:C00242	2	6	R-MMU-74217	Purine salvage
R-MMU-71173	maleylacetoacetate => fumarylacetoacetate	1.00	0.33	0.50	Q9WVL0 (ENSMUSG00000021033)	1	1	C00051	1	3	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-70692	ornithine => putrescine + CO2	1.00	0.33	0.50	P00860 (ENSMUSG00000011179)	1	1	C00077	1	3	R-MMU-351202	Metabolism of polyamines
R-MMU-74242	(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP)	1.00	0.33	0.50	Q9D8C9 (ENSMUSG00000068417):Q543K9 (ENSMUSG00000021871)	2	2	C00009:C00262	2	6	R-MMU-74259	Purine catabolism
R-MMU-74249	(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP)	1.00	0.33	0.50	Q9D8C9 (ENSMUSG00000068417):Q543K9 (ENSMUSG00000021871)	2	2	C00009:C00242	2	6	R-MMU-74259	Purine catabolism
R-MMU-110144	ADP + ADP <=> AMP + ATP [AK2]	1.00	0.33	0.50	Q9WTP6 (ENSMUSG00000028792)	1	1	C00020	1	3	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-200681	Conversion of cytosolic 5-methyltetrahydrofolate (5-methylTHF) to 5-methylTHF-polyglutamate	1.00	0.33	0.43	P48760 (ENSMUSG00000009566)	1	1	C00009:C00025	2	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-74372	uracil + (deoxy)ribose 1-phosphate <=> (deoxy)uridine + orthophosphate [UPP]	1.00	0.33	0.50	P52624 (ENSMUSG00000020407):Q8CGR7 (ENSMUSG00000026839)	2	2	C00009:C00299	2	6	R-MMU-73614	Pyrimidine salvage
R-MMU-73814	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	1.00	0.33	0.43	Q64737 (ENSMUSG00000022962)	1	1	C00009:C00037	2	6	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-197958	Conversion of cytosolic THF to THF-polyglutamate	1.00	0.33	0.43	P48760 (ENSMUSG00000009566)	1	1	C00009:C00025	2	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-2993814	HLCS biotinylates ACACA	0.67	0.33	0.44	Q920N2 (ENSMUSG00000040820):Q5SWU9 (ENSMUSG00000020532)	2	3	C00013:C00020	2	6	R-MMU-196780	Biotin transport and metabolism
R-MMU-4167511	HLCS biotinylates ACACB	0.67	0.33	0.44	E9Q4Z2 (ENSMUSG00000042010):Q920N2 (ENSMUSG00000040820)	2	3	C00013:C00020	2	6	R-MMU-196780	Biotin transport and metabolism
R-MMU-5695957	ACSBG1,2 ligates CoA-SH to VLCFA, forming VLCFA-CoA	0.50	0.33	0.38	Q99PU5 (ENSMUSG00000032281)	1	2	C00013:C00020	2	6	R-MMU-75876	Synthesis of very long-chain fatty acyl-CoAs
R-MMU-5693783	NAALADases hydrolyse NAAG	0.50	0.33	0.40	Q9CZR2 (ENSMUSG00000043943)	1	2	C00025	1	3	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-209840	Two DITs combine to form thyroxine	0.33	0.33	0.33	E9Q4F3 (ENSMUSG00000027857)	1	3	C00041	1	3	R-MMU-209968	Thyroxine biosynthesis
R-MMU-2993802	HLCS biotinylates PC:Mn2+	0.20	0.33	0.27	Q920N2 (ENSMUSG00000040820)	1	5	C00013:C00020	2	6	R-MMU-196780	Biotin transport and metabolism
R-MMU-8875071	ACSS3 ligates CoA to CH3COO-	0.00	0.33	0.29		0	1	C00013:C00020	2	6	R-MMU-77111	Synthesis of Ketone Bodies
R-MMU-8938300	Vanin hydrolyses pantetheine to PanK, 2AET	0.00	0.33	0.25		0	1	C00864	1	3	R-MMU-199220	Vitamin B5 (pantothenate) metabolism
R-MMU-177157	phenylacetate + Coenzyme A + ATP => phenylacetyl-CoA + AMP + pyrophosphate	0.00	0.33	0.25		0	2	C00013:C00020	2	6	R-MMU-177162	Conjugation of phenylacetate with glutamine
R-MMU-192137	THCA is conjugated with Coenzyme A (SLC27A5 BACS)	0.00	0.33	0.29		0	1	C00013:C00020	2	6	R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
R-MMU-193491	Chenodeoxycholoyl CoA reacts with glycine or taurine to form glycochenodeoxycholate or taurochenodeoxycholate	0.00	0.33	0.29		0	1	C00037:C00245	2	6	R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
R-MMU-73599	cytidine or uridine + ATP => CMP or UMP + ADP [UCK1]	0.00	0.33	0.25		0	2	C00299:C00475	2	6	R-MMU-73614	Pyrimidine salvage
R-MMU-193401	THCA is conjugated with Coenzyme A (SLC27A2 VLCS)	0.00	0.33	0.29		0	1	C00013:C00020	2	6	R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
R-MMU-159567	salicylic acid + Coenzyme A + ATP => salicylate-CoA + AMP + pyrophosphate	0.00	0.33	0.29		0	1	C00013:C00020	2	6	R-MMU-177128	Conjugation of salicylate with glycine
R-MMU-193407	DHCA is conjugated with Coenzyme A (SLC27A5 BACS)	0.00	0.33	0.29		0	1	C00013:C00020	2	6	R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
R-MMU-192312	Choloyl CoA reacts with glycine or taurine to form glycocholate or taurocholate	0.00	0.33	0.29		0	1	C00037:C00245	2	6	R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
